story_id,lane,length,violation_count,categories,markers
1066,kjv,full,0,,
1066,web,full,0,,
1066,web,long,0,,
1066,web,short,0,,
1066,kjv,short,0,,
1067,kjv,long,0,,
1067,kjv,full,0,,
1067,kjv,short,0,,
1067,web,short,0,,
1067,web,full,0,,
1067,web,long,0,,
1068,kjv,short,0,,
1068,web,full,0,,
1068,web,long,0,,
1068,web,short,0,,
1068,kjv,long,0,,
1068,kjv,full,0,,
1069,web,full,0,,
1069,web,long,0,,
1069,web,short,0,,
1069,kjv,long,0,,
1069,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1069,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1070,web,short,0,,
1070,kjv,long,0,,
1070,kjv,full,0,,
1070,kjv,short,0,,
1070,web,full,0,,
1070,web,long,0,,
1071,kjv,long,0,,
1071,kjv,full,0,,
1071,kjv,short,0,,
1071,web,full,0,,
1071,web,long,0,,
1071,web,short,0,,
1080,web,short,0,,
1080,kjv,full,0,,
1080,kjv,long,0,,
1080,web,long,0,,
1080,web,full,0,,
1080,web,short,0,,
1080,kjv,short,0,,
1081,kjv,full,0,,
1081,web,short,3,WEB_CONTRACTION,\bdon['’]t\b;\bit['’]s\b;\bthat['’]s\b
1081,kjv,long,0,,
1081,kjv,short,0,,
1081,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1081,web,long,1,WEB_CONTRACTION,\bdon['’]t\b
1081,web,full,1,WEB_CONTRACTION,\bdon['’]t\b
1082,web,full,0,,
1082,web,long,0,,
1082,kjv,short,0,,
1082,kjv,long,0,,
1082,kjv,full,0,,
1082,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bI['’]m\b
1082,web,short,0,,
1083,web,short,0,,
1083,web,full,0,,
1083,web,long,0,,
1083,kjv,short,0,,
1083,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bwouldn['’]t\b;\bhe['’]s\b
1083,kjv,long,0,,
1083,kjv,full,0,,
1084,web,short,0,,
1084,kjv,short,0,,
1084,kjv,full,0,,
1084,kjv,long,0,,
